"","Sample tree ID","Species","Year","Site","Longitude","Latitude","Elevation (m)","Aspect (degrees)","Terrain slope (%)","Stem diameter (cm)","Age (years)","Ring width (mm)","Date collected (month/day/year)"
"3852","BNF0725131258SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,20.7,63,1.881,"7/25/13"
"3853","BNF0725131258SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,21.08,64,1.613,"7/25/13"
"3854","BNF0725131258SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,21.4,65,1.813,"7/25/13"
"3855","BNF0725131258SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,21.77,66,1.309,"7/25/13"
"3856","BNF0725131258SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,22.03,67,1.167,"7/25/13"
"3857","BNF0725131258SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,22.26,68,1.326,"7/25/13"
"3858","BNF0725131258SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,22.53,69,1.482,"7/25/13"
"3859","BNF0725131258SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,22.82,70,1.864,"7/25/13"
"3860","BNF0725131258SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.8239271,44.91884407,2736,175,40,23.2,71,1.455,"7/25/13"
"3921","BNF0725131534SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,15.36,77,1.196,"7/25/13"
"3922","BNF0725131534SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,15.6,78,1.069,"7/25/13"
"3923","BNF0725131534SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,15.82,79,1.55,"7/25/13"
"3924","BNF0725131534SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,16.13,80,1.165,"7/25/13"
"3925","BNF0725131534SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,16.36,81,1.083,"7/25/13"
"3926","BNF0725131534SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,16.58,82,1.277,"7/25/13"
"3927","BNF0725131534SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,16.83,83,1.594,"7/25/13"
"3928","BNF0725131534SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,17.15,84,1.632,"7/25/13"
"3929","BNF0725131534SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,17.48,85,1.678,"7/25/13"
"3930","BNF0725131534SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,17.81,86,1.389,"7/25/13"
"3931","BNF0725131534SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,18.09,87,1.426,"7/25/13"
"3932","BNF0725131534SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,18.38,88,1.552,"7/25/13"
"3933","BNF0725131534SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,18.69,89,1.612,"7/25/13"
"3934","BNF0725131534SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,19.01,90,1.672,"7/25/13"
"3935","BNF0725131534SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,19.34,91,1.472,"7/25/13"
"3936","BNF0725131534SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,19.64,92,1.361,"7/25/13"
"3937","BNF0725131534SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,19.91,93,1.405,"7/25/13"
"3938","BNF0725131534SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,20.19,94,1.282,"7/25/13"
"3939","BNF0725131534SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,20.45,95,1.5,"7/25/13"
"3940","BNF0725131534SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.8244255,44.91531195,2689,1,25,20.75,96,1.474,"7/25/13"
"3981","BNF0726130816SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,21.13,78,1.722,"7/26/13"
"3982","BNF0726130816SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,21.47,79,1.82,"7/26/13"
"3983","BNF0726130816SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,21.84,80,2.259,"7/26/13"
"3984","BNF0726130816SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,22.29,81,1.746,"7/26/13"
"3985","BNF0726130816SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,22.64,82,1.296,"7/26/13"
"3986","BNF0726130816SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,22.9,83,1.603,"7/26/13"
"3987","BNF0726130816SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,23.22,84,1.856,"7/26/13"
"3988","BNF0726130816SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,23.59,85,1.635,"7/26/13"
"3989","BNF0726130816SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,23.92,86,1.688,"7/26/13"
"3990","BNF0726130816SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,24.26,87,1.461,"7/26/13"
"3991","BNF0726130816SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,24.55,88,1.261,"7/26/13"
"3992","BNF0726130816SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,24.8,89,1.323,"7/26/13"
"3993","BNF0726130816SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,25.06,90,1.326,"7/26/13"
"3994","BNF0726130816SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,25.33,91,1.389,"7/26/13"
"3995","BNF0726130816SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,25.61,92,0.966,"7/26/13"
"3996","BNF0726130816SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,25.8,93,0.943,"7/26/13"
"3997","BNF0726130816SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,25.99,94,1.298,"7/26/13"
"3998","BNF0726130816SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,26.25,95,1.286,"7/26/13"
"3999","BNF0726130816SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,26.51,96,1.276,"7/26/13"
"4000","BNF0726130816SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.8240962,44.9010969,2849,344,14,26.76,97,1.048,"7/26/13"
"4021","BNF0726130952SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,14.18,52,1.766,"7/26/13"
"4022","BNF0726130952SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,14.54,53,1.758,"7/26/13"
"4023","BNF0726130952SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,14.89,54,2.124,"7/26/13"
"4024","BNF0726130952SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,15.31,55,1.643,"7/26/13"
"4025","BNF0726130952SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,15.64,56,1.413,"7/26/13"
"4026","BNF0726130952SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,15.92,57,2.149,"7/26/13"
"4027","BNF0726130952SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,16.35,58,2.27,"7/26/13"
"4028","BNF0726130952SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,16.81,59,2.103,"7/26/13"
"4029","BNF0726130952SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,17.23,60,2.14,"7/26/13"
"4030","BNF0726130952SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,17.66,61,1.775,"7/26/13"
"4031","BNF0726130952SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,18.01,62,1.683,"7/26/13"
"4032","BNF0726130952SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,18.35,63,1.758,"7/26/13"
"4033","BNF0726130952SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,18.7,64,1.878,"7/26/13"
"4034","BNF0726130952SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,19.07,65,1.583,"7/26/13"
"4035","BNF0726130952SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,19.39,66,1.676,"7/26/13"
"4036","BNF0726130952SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,19.73,67,1.697,"7/26/13"
"4037","BNF0726130952SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,20.07,68,1.811,"7/26/13"
"4038","BNF0726130952SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,20.43,69,1.346,"7/26/13"
"4039","BNF0726130952SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,20.7,70,1.491,"7/26/13"
"4040","BNF0726130952SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.8213513,44.89987751,2846,84,17,21,71,1.302,"7/26/13"
"4081","BNF0726131329SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,15.76,60,2.067,"7/26/13"
"4082","BNF0726131329SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,16.17,61,2.663,"7/26/13"
"4083","BNF0726131329SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,16.7,62,3.039,"7/26/13"
"4084","BNF0726131329SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,17.31,63,2.336,"7/26/13"
"4085","BNF0726131329SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,17.78,64,2.174,"7/26/13"
"4086","BNF0726131329SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,18.21,65,2.825,"7/26/13"
"4087","BNF0726131329SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,18.78,66,3.141,"7/26/13"
"4088","BNF0726131329SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,19.41,67,3.178,"7/26/13"
"4089","BNF0726131329SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,20.04,68,2.816,"7/26/13"
"4090","BNF0726131329SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,20.6,69,2.041,"7/26/13"
"4091","BNF0726131329SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,21.01,70,1.318,"7/26/13"
"4092","BNF0726131329SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,21.28,71,1.988,"7/26/13"
"4093","BNF0726131329SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,21.67,72,1.89,"7/26/13"
"4094","BNF0726131329SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,22.05,73,2.456,"7/26/13"
"4095","BNF0726131329SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,22.54,74,1.677,"7/26/13"
"4096","BNF0726131329SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,22.88,75,1.256,"7/26/13"
"4097","BNF0726131329SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,23.13,76,1.325,"7/26/13"
"4098","BNF0726131329SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,23.39,77,1.947,"7/26/13"
"4099","BNF0726131329SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,23.78,78,1.925,"7/26/13"
"4100","BNF0726131329SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.7519262,44.97297663,2563,134,20,24.17,79,1.956,"7/26/13"
"4181","BNF0726131620SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,17.63,71,1.099,"7/26/13"
"4182","BNF0726131620SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,17.85,72,1.236,"7/26/13"
"4183","BNF0726131620SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,18.09,73,1.129,"7/26/13"
"4184","BNF0726131620SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,18.32,74,0.814,"7/26/13"
"4185","BNF0726131620SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,18.48,75,0.656,"7/26/13"
"4186","BNF0726131620SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,18.61,76,0.856,"7/26/13"
"4187","BNF0726131620SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,18.78,77,1.232,"7/26/13"
"4188","BNF0726131620SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,19.03,78,1.087,"7/26/13"
"4189","BNF0726131620SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,19.25,79,0.982,"7/26/13"
"4190","BNF0726131620SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,19.44,80,0.937,"7/26/13"
"4191","BNF0726131620SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,19.63,81,0.79,"7/26/13"
"4192","BNF0726131620SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,19.79,82,0.98,"7/26/13"
"4193","BNF0726131620SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,19.99,83,0.85,"7/26/13"
"4194","BNF0726131620SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,20.16,84,1.095,"7/26/13"
"4195","BNF0726131620SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,20.37,85,0.627,"7/26/13"
"4196","BNF0726131620SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,20.5,86,0.754,"7/26/13"
"4197","BNF0726131620SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,20.65,87,0.695,"7/26/13"
"4198","BNF0726131620SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,20.79,88,0.888,"7/26/13"
"4199","BNF0726131620SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,20.97,89,0.961,"7/26/13"
"4200","BNF0726131620SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.743308,44.97176182,2492,36,42,21.16,90,0.878,"7/26/13"
"4281","GNP0716121304SF","Abies lasiocarpa",1992,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,24.39,135,0.735,"7/16/12"
"4282","GNP0716121304SF","Abies lasiocarpa",1993,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,24.54,136,0.955,"7/16/12"
"4283","GNP0716121304SF","Abies lasiocarpa",1994,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,24.73,137,0.997,"7/16/12"
"4284","GNP0716121304SF","Abies lasiocarpa",1995,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,24.93,138,1.054,"7/16/12"
"4285","GNP0716121304SF","Abies lasiocarpa",1996,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,25.14,139,1.189,"7/16/12"
"4286","GNP0716121304SF","Abies lasiocarpa",1997,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,25.38,140,1.733,"7/16/12"
"4287","GNP0716121304SF","Abies lasiocarpa",1998,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,25.72,141,1.104,"7/16/12"
"4288","GNP0716121304SF","Abies lasiocarpa",1999,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,25.95,142,1.24,"7/16/12"
"4289","GNP0716121304SF","Abies lasiocarpa",2000,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,26.19,143,1.097,"7/16/12"
"4290","GNP0716121304SF","Abies lasiocarpa",2001,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,26.41,144,1.271,"7/16/12"
"4291","GNP0716121304SF","Abies lasiocarpa",2002,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,26.67,145,0.769,"7/16/12"
"4292","GNP0716121304SF","Abies lasiocarpa",2003,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,26.82,146,0.735,"7/16/12"
"4293","GNP0716121304SF","Abies lasiocarpa",2004,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,26.97,147,0.745,"7/16/12"
"4294","GNP0716121304SF","Abies lasiocarpa",2005,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,27.12,148,0.527,"7/16/12"
"4295","GNP0716121304SF","Abies lasiocarpa",2006,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,27.22,149,0.979,"7/16/12"
"4296","GNP0716121304SF","Abies lasiocarpa",2007,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,27.42,150,0.901,"7/16/12"
"4297","GNP0716121304SF","Abies lasiocarpa",2008,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,27.6,151,0.935,"7/16/12"
"4298","GNP0716121304SF","Abies lasiocarpa",2009,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,27.79,152,0.676,"7/16/12"
"4299","GNP0716121304SF","Abies lasiocarpa",2010,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,27.92,153,0.65,"7/16/12"
"4300","GNP0716121304SF","Abies lasiocarpa",2011,"Glacier National Park ",-113.6536926,48.6756789,1564,202,20,28.05,154,0.246,"7/16/12"
"4321","GNP0716121640SF","Abies lasiocarpa",1992,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,24.48,113,1.826,"7/16/12"
"4322","GNP0716121640SF","Abies lasiocarpa",1993,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,24.85,114,2.027,"7/16/12"
"4323","GNP0716121640SF","Abies lasiocarpa",1994,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,25.25,115,1.43,"7/16/12"
"4324","GNP0716121640SF","Abies lasiocarpa",1995,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,25.54,116,1.565,"7/16/12"
"4325","GNP0716121640SF","Abies lasiocarpa",1996,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,25.85,117,1.572,"7/16/12"
"4326","GNP0716121640SF","Abies lasiocarpa",1997,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,26.16,118,1.539,"7/16/12"
"4327","GNP0716121640SF","Abies lasiocarpa",1998,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,26.47,119,1.626,"7/16/12"
"4328","GNP0716121640SF","Abies lasiocarpa",1999,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,26.8,120,1.663,"7/16/12"
"4329","GNP0716121640SF","Abies lasiocarpa",2000,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,27.13,121,1.57,"7/16/12"
"4330","GNP0716121640SF","Abies lasiocarpa",2001,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,27.44,122,2.068,"7/16/12"
"4331","GNP0716121640SF","Abies lasiocarpa",2002,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,27.86,123,1.419,"7/16/12"
"4332","GNP0716121640SF","Abies lasiocarpa",2003,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,28.14,124,1.568,"7/16/12"
"4333","GNP0716121640SF","Abies lasiocarpa",2004,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,28.46,125,2.194,"7/16/12"
"4334","GNP0716121640SF","Abies lasiocarpa",2005,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,28.89,126,2.859,"7/16/12"
"4335","GNP0716121640SF","Abies lasiocarpa",2006,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,29.47,127,2.639,"7/16/12"
"4336","GNP0716121640SF","Abies lasiocarpa",2007,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,29.99,128,2.077,"7/16/12"
"4337","GNP0716121640SF","Abies lasiocarpa",2008,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,30.41,129,1.6,"7/16/12"
"4338","GNP0716121640SF","Abies lasiocarpa",2009,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,30.73,130,1.661,"7/16/12"
"4339","GNP0716121640SF","Abies lasiocarpa",2010,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,31.06,131,1.094,"7/16/12"
"4340","GNP0716121640SF","Abies lasiocarpa",2011,"Glacier National Park ",-113.6449872,48.66717881,1508,120,18,31.28,132,0.601,"7/16/12"
"4361","GNP0717121035SF","Abies lasiocarpa",1992,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,21.96,163,1.058,"7/17/12"
"4362","GNP0717121035SF","Abies lasiocarpa",1993,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,22.17,164,0.732,"7/17/12"
"4363","GNP0717121035SF","Abies lasiocarpa",1994,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,22.32,165,0.782,"7/17/12"
"4364","GNP0717121035SF","Abies lasiocarpa",1995,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,22.48,166,0.758,"7/17/12"
"4365","GNP0717121035SF","Abies lasiocarpa",1996,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,22.63,167,0.87,"7/17/12"
"4366","GNP0717121035SF","Abies lasiocarpa",1997,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,22.8,168,0.518,"7/17/12"
"4367","GNP0717121035SF","Abies lasiocarpa",1998,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,22.91,169,0.539,"7/17/12"
"4368","GNP0717121035SF","Abies lasiocarpa",1999,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.01,170,0.456,"7/17/12"
"4369","GNP0717121035SF","Abies lasiocarpa",2000,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.11,171,0.339,"7/17/12"
"4370","GNP0717121035SF","Abies lasiocarpa",2001,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.17,172,0.25,"7/17/12"
"4371","GNP0717121035SF","Abies lasiocarpa",2002,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.22,173,0.278,"7/17/12"
"4372","GNP0717121035SF","Abies lasiocarpa",2003,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.28,174,0.268,"7/17/12"
"4373","GNP0717121035SF","Abies lasiocarpa",2004,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.33,175,0.238,"7/17/12"
"4374","GNP0717121035SF","Abies lasiocarpa",2005,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.38,176,0.395,"7/17/12"
"4375","GNP0717121035SF","Abies lasiocarpa",2006,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.46,177,0.512,"7/17/12"
"4376","GNP0717121035SF","Abies lasiocarpa",2007,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.56,178,0.424,"7/17/12"
"4377","GNP0717121035SF","Abies lasiocarpa",2008,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.65,179,0.418,"7/17/12"
"4378","GNP0717121035SF","Abies lasiocarpa",2009,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.73,180,0.454,"7/17/12"
"4379","GNP0717121035SF","Abies lasiocarpa",2010,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.82,181,0.237,"7/17/12"
"4380","GNP0717121035SF","Abies lasiocarpa",2011,"Glacier National Park ",-113.6270004,48.67209834,1446,165,45,23.87,182,0.16,"7/17/12"
"4421","GNP0718121432SF","Abies lasiocarpa",1992,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,18.78,127,0.711,"7/18/12"
"4422","GNP0718121432SF","Abies lasiocarpa",1993,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,18.93,128,1.024,"7/18/12"
"4423","GNP0718121432SF","Abies lasiocarpa",1994,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,19.13,129,1.058,"7/18/12"
"4424","GNP0718121432SF","Abies lasiocarpa",1995,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,19.34,130,0.964,"7/18/12"
"4425","GNP0718121432SF","Abies lasiocarpa",1996,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,19.53,131,0.918,"7/18/12"
"4426","GNP0718121432SF","Abies lasiocarpa",1997,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,19.72,132,0.586,"7/18/12"
"4427","GNP0718121432SF","Abies lasiocarpa",1998,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,19.84,133,0.68,"7/18/12"
"4428","GNP0718121432SF","Abies lasiocarpa",1999,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,19.97,134,0.489,"7/18/12"
"4429","GNP0718121432SF","Abies lasiocarpa",2000,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,20.07,135,0.691,"7/18/12"
"4430","GNP0718121432SF","Abies lasiocarpa",2001,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,20.21,136,0.63,"7/18/12"
"4431","GNP0718121432SF","Abies lasiocarpa",2002,"Glacier National Park ",-113.6231044,48.64285583,1714,101,17,20.33,137,0.56,"7/18/12"
