"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Tree Core Type","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Significant Tree Damage"
Rotation 1,975,2008,17-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,975,2008,17-Jul-08,FNO/MPA,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,975,2008,17-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,975,2008,17-Jul-08,FNO/MPA,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,975,2008,17-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,1Ha,Largest Tree,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,SE,Secondary Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,976,2008,23-Jul-08,FNO/MPA,SW,Secondary Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,1Ha,Largest Tree,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,NE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,NE,Secondary Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,NW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,NW,Secondary Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,SE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,SW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1007,2008,18-Jul-08,FNO/MPA,SW,Secondary Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,1Ha,Largest Tree,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1008,2008,19-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,1Ha,Largest Tree,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,NE,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1009,2008,24-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1041,2008,20-Jul-08,FNO,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,FC,
Rotation 1,1041,2008,20-Jul-08,FNO,NE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1041,2008,20-Jul-08,FNO,NE,Secondary Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1041,2008,20-Jul-08,FNO,NW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1041,2008,20-Jul-08,FNO,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1041,2008,20-Jul-08,FNO,SE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1041,2008,20-Jul-08,FNO,SE,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1041,2008,20-Jul-08,FNO,SW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1041,2008,20-Jul-08,FNO,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,1Ha,Largest Tree,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,NE,Secondary Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,S,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,FC,
Rotation 1,1042,2008,25-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,FC,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,SE,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1043,2008,21-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,1Ha,Largest Tree,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,NE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1083,2008,07-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1085,2008,03-Jul-08,JBE,1Ha,Largest Tree,Balsam Poplar,Populus balsamifera,Species,99003480,DT,
Rotation 1,1085,2008,03-Jul-08,JBE,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1085,2008,03-Jul-08,JBE,NE,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1085,2008,03-Jul-08,JBE,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,FC,
Rotation 1,1085,2008,03-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1085,2008,03-Jul-08,JBE,SE,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1085,2008,03-Jul-08,JBE,SE,Secondary Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1085,2008,03-Jul-08,JBE,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1085,2008,03-Jul-08,JBE,SW,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1116,2008,05-Jul-08,JBE,1Ha,Largest Tree,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1116,2008,05-Jul-08,JBE,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,S,
Rotation 1,1116,2008,05-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1116,2008,05-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,DNC,
Rotation 1,1116,2008,05-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1116,2008,05-Jul-08,JBE,SE,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1116,2008,05-Jul-08,JBE,SE,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1116,2008,05-Jul-08,JBE,SW,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1116,2008,05-Jul-08,JBE,SW,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1117,2008,04-Jul-08,JBE,1Ha,Largest Tree,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,NE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1117,2008,04-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,1Ha,Largest Tree,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,NE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1148,2008,08-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1190,2008,17-Jul-08,JBE,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,DT,
Rotation 1,1190,2008,17-Jul-08,JBE,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1190,2008,17-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1190,2008,17-Jul-08,JBE,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1190,2008,17-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1190,2008,17-Jul-08,JBE,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1190,2008,17-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1190,2008,17-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,DNC,
Rotation 1,1190,2008,17-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1191,2008,19-Jul-08,CKO,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1191,2008,19-Jul-08,CKO,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1191,2008,19-Jul-08,CKO,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1191,2008,19-Jul-08,CKO,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1191,2008,19-Jul-08,CKO,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1191,2008,19-Jul-08,CKO,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1191,2008,19-Jul-08,CKO,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1191,2008,19-Jul-08,CKO,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,O,
Rotation 1,1191,2008,19-Jul-08,CKO,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1192,2008,18-Jul-08,CKO,1Ha,Largest Tree,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1192,2008,18-Jul-08,CKO,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,O,
Rotation 1,1192,2008,18-Jul-08,CKO,NE,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1192,2008,18-Jul-08,CKO,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1192,2008,18-Jul-08,CKO,NW,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,O,
Rotation 1,1192,2008,18-Jul-08,CKO,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1192,2008,18-Jul-08,CKO,SE,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1192,2008,18-Jul-08,CKO,SW,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,O,
Rotation 1,1192,2008,18-Jul-08,CKO,SW,Secondary Species,Trembling Aspen,Populus tremuloides,Species,99003483,O,
Rotation 1,1222,2008,09-Jul-08,JBE,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1222,2008,09-Jul-08,JBE,NE,Leading Species,VNA,VNA,VNA,VNA,DNC,
Rotation 1,1222,2008,09-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1222,2008,09-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,DNC,
Rotation 1,1222,2008,09-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1222,2008,09-Jul-08,JBE,SE,Leading Species,VNA,VNA,VNA,VNA,DNC,
Rotation 1,1222,2008,09-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1222,2008,09-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,DNC,
Rotation 1,1222,2008,09-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,1Ha,Largest Tree,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,NE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1223,2008,10-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,1Ha,Largest Tree,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,NE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,NW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1224,2008,20-Jul-08,JBE,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1353,2008,03-Jul-08,FNO,1Ha,Largest Tree,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1353,2008,03-Jul-08,FNO,NE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1353,2008,03-Jul-08,FNO,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1353,2008,03-Jul-08,FNO,NW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1353,2008,03-Jul-08,FNO,NW,Secondary Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1353,2008,03-Jul-08,FNO,SE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1353,2008,03-Jul-08,FNO,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1353,2008,03-Jul-08,FNO,SW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1353,2008,03-Jul-08,FNO,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,SE,Secondary Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,SW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1354,2008,04-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,1Ha,Largest Tree,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,NE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,None,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,NW,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,None,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1355,2008,05-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,1Ha,Largest Tree,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,NE,Secondary Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,NW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,FC,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,NW,Secondary Species,Balsam Poplar,Populus balsamifera,Species,99003480,DT,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,SE,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,SW,Leading Species,Lodgepole Pine,Pinus contorta,Species,99004829,None,
Rotation 1,1378,2008,06-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,1Ha,Largest Tree,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,None,
Rotation 1,1379,2008,07-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,1Ha,Largest Tree,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,NE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,NW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,SE,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,SE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,SW,Leading Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1380,2008,08-Jul-08,FNO,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,1Ha,Largest Tree,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,NE,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,NE,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,NW,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,NW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,SE,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,SE,Secondary Species,Subalpine Fir,Abies bifolia,Species,99005272,None,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,SW,Leading Species,White Spruce,Picea glauca,Species,99004836,None,
Rotation 1,1402,2008,09-Jul-08,FNO/MPA,SW,Secondary Species,VNA,VNA,VNA,VNA,VNA,
