Year	Tree Name	Tree location	Tree Ring Widths (mm)	"Temperature (ºC, Growing Season: May, June, July, Aug)"	"Precipitation (mm, Growing Season: May, June, July, Aug)"
1975	tfis04	bog lowland	1.11	15.74	72.13
1974	tfis04	bog lowland	1.15	14.54	53.03
1973	tfis04	bog lowland	1.13	13.88	80.77
1972	tfis04	bog lowland	1.11	14.17	60.65
1971	tfis04	bog lowland	1.14	13.85	94.45
1970	tfis04	bog lowland	1.17	14.04	95.87
1969	tfis04	bog lowland	1.17	13.26	64.39
1968	tfis04	bog lowland	1.16	14.33	53.42
1967	tfis04	bog lowland	1.11	13.54	146.45
1966	tfis04	bog lowland	1.06	13.93	27.61
1965	tfis04	bog lowland	1.02	11.51	81.03
1964	tfis04	bog lowland	0.98	12.07	87.74
1963	tfis04	bog lowland	0.95	12.40	93.68
1962	tfis04	bog lowland	0.94	13.47	162.84
1961	tfis04	bog lowland	0.91	13.13	106.71
1960	tfis04	bog lowland	0.88	13.64	92.00
1959	tfis04	bog lowland	0.90	12.58	99.87
1958	tfis04	bog lowland	0.90	14.14	52.52
1957	tfis04	bog lowland	0.89	14.47	20.00
1956	tfis04	bog lowland	0.89	13.18	92.90
1955	tfis04	bog lowland	0.89	12.19	142.97
1954	tfis04	bog lowland	0.87	13.28	101.03
1953	tfis04	bog lowland	0.87	14.35	105.16
1952	tfis04	bog lowland	0.86	11.93	80.00
1951	tfis04	bog lowland	0.89	13.38	78.84
1950	tfis04	bog lowland	0.90	13.60	69.16
1949	tfis04	bog lowland	0.89	11.51	113.81
1948	tfis04	bog lowland	0.87	11.81	148.52
1947	tfis04	bog lowland	0.95	12.43	68.26
1946	tfis04	bog lowland	0.95	13.29	86.71
1945	tfis04	bog lowland	0.96	11.22	141.16
1944	tfis04	bog lowland	1.00	12.90	97.81
1943	tfis04	bog lowland	1.00	12.56	72.26
1942	tfis04	bog lowland	0.95	14.31	144.77
1941	tfis04	bog lowland	0.92	13.65	76.90
1940	tfis04	bog lowland	0.91	14.03	95.10
1939	tfis04	bog lowland	0.88	12.82	101.29
1938	tfis04	bog lowland	0.88	12.61	84.13
1937	tfis04	bog lowland	0.85	12.44	85.29
1936	tfis04	bog lowland	0.83	14.08	69.55
1935	tfis04	bog lowland	0.83	11.36	91.74
1934	tfis04	bog lowland	0.83	12.14	88.90
1933	tfis04	bog lowland	0.87	11.68	81.94
1932	tfis04	bog lowland	0.95	11.68	114.84
1931	tfis04	bog lowland	1.05	11.22	104.90
1930	tfis04	bog lowland	1.17	12.79	174.97
1929	tfis04	bog lowland	1.20	12.85	111.48
1928	tfis04	bog lowland	1.19	12.72	64.13
1927	tfis04	bog lowland	1.11	13.51	50.71
1926	tfis04	bog lowland	1.11	14.08	99.10
1925	tfis04	bog lowland	1.11	13.00	115.23
1924	tfis04	bog lowland	1.16	12.46	101.55
1923	tfis04	bog lowland	1.24	14.18	72.65
1922	tfis04	bog lowland	1.33	10.40	113.68
1921	tfis04	bog lowland	1.37	13.56	66.06
1920	tfis04	bog lowland	1.33	12.49	64.26
1919	tfis04	bog lowland	1.33	13.22	107.10
1918	tfis04	bog lowland	1.25	12.10	74.06
1917	tfis04	bog lowland	1.17	12.43	94.32
1916	tfis04	bog lowland	1.06	13.04	123.35
1915	tfis04	bog lowland	1.03	14.88	126.84
1914	tfis04	bog lowland	0.98	12.81	90.58
1913	tfis04	bog lowland	0.96	14.35	95.10
1912	tfis04	bog lowland	0.93	13.07	95.61
1911	tfis04	bog lowland	0.91	12.88	84.64
1910	tfis04	bog lowland	0.89	12.93	85.29
1909	tfis04	bog lowland	0.83	12.64	77.94
1908	tfis04	bog lowland	0.83	-9999.00	-9999.00
1907	tfis04	bog lowland	0.86	-9999.00	-9999.00
1906	tfis04	bog lowland	0.95	-9999.00	-9999.00
1905	tfis04	bog lowland	0.96	-9999.00	-9999.00
1904	tfis04	bog lowland	1.13	-9999.00	-9999.00
1903	tfis04	bog lowland	1.15	-9999.00	-9999.00
1902	tfis04	bog lowland	1.19	-9999.00	-9999.00
1901	tfis04	bog lowland	1.11	-9999.00	-9999.00
1900	tfis04	bog lowland	1.02	-9999.00	-9999.00
1899	tfis04	bog lowland	0.81	-9999.00	-9999.00
1898	tfis04	bog lowland	0.76	-9999.00	-9999.00
1897	tfis04	bog lowland	0.67	-9999.00	-9999.00
1896	tfis04	bog lowland	0.60	-9999.00	-9999.00
1895	tfis04	bog lowland	0.53	-9999.00	-9999.00
2000	tfis05	bog lowland	1.25	12.36	93.81
1999	tfis05	bog lowland	1.28	14.05	95.48
1998	tfis05	bog lowland	1.34	13.40	122.06
1997	tfis05	bog lowland	1.27	14.96	56.26
1996	tfis05	bog lowland	1.16	13.53	85.94
1995	tfis05	bog lowland	0.99	14.81	95.35
1994	tfis05	bog lowland	0.81	14.76	73.94
1993	tfis05	bog lowland	0.57	15.19	82.97
1992	tfis05	bog lowland	0.47	13.11	98.45
1991	tfis05	bog lowland	0.48	14.17	46.58
1990	tfis05	bog lowland	0.57	15.83	159.23
1989	tfis05	bog lowland	0.74	14.67	76.52
1988	tfis05	bog lowland	0.93	15.54	96.39
1987	tfis05	bog lowland	1.08	14.85	52.39
1986	tfis05	bog lowland	1.20	13.99	84.39
1985	tfis05	bog lowland	1.23	13.35	100.77
1984	tfis05	bog lowland	1.11	13.22	77.03
1983	tfis05	bog lowland	0.99	14.21	86.06
1982	tfis05	bog lowland	0.84	13.47	99.23
1981	tfis05	bog lowland	0.68	12.82	92.90
1980	tfis05	bog lowland	0.56	13.01	70.97
1979	tfis05	bog lowland	0.54	14.01	82.19
1978	tfis05	bog lowland	0.47	13.85	71.74
1977	tfis05	bog lowland	0.50	14.68	117.94
1976	tfis05	bog lowland	0.49	13.92	69.16
1975	tfis05	bog lowland	0.50	15.74	72.13
1974	tfis05	bog lowland	0.56	14.54	53.03
1973	tfis05	bog lowland	0.66	13.88	80.77
1972	tfis05	bog lowland	0.75	14.17	60.65
1971	tfis05	bog lowland	0.88	13.85	94.45
1970	tfis05	bog lowland	1.05	14.04	95.87
1969	tfis05	bog lowland	1.09	13.26	64.39
1968	tfis05	bog lowland	1.13	14.33	53.42
1967	tfis05	bog lowland	1.17	13.54	146.45
1966	tfis05	bog lowland	1.18	13.93	27.61
1965	tfis05	bog lowland	1.06	11.51	81.03
1964	tfis05	bog lowland	0.94	12.07	87.74
1963	tfis05	bog lowland	0.80	12.40	93.68
1962	tfis05	bog lowland	0.63	13.47	162.84
1961	tfis05	bog lowland	0.54	13.13	106.71
1960	tfis05	bog lowland	0.52	13.64	92.00
1959	tfis05	bog lowland	0.60	12.58	99.87
1958	tfis05	bog lowland	0.76	14.14	52.52
1957	tfis05	bog lowland	0.95	14.47	20.00
1956	tfis05	bog lowland	1.04	13.18	92.90
1955	tfis05	bog lowland	1.11	12.19	142.97
1954	tfis05	bog lowland	1.16	13.28	101.03
1953	tfis05	bog lowland	1.21	14.35	105.16
1952	tfis05	bog lowland	1.17	11.93	80.00
1951	tfis05	bog lowland	1.21	13.38	78.84
1950	tfis05	bog lowland	1.21	13.60	69.16
1949	tfis05	bog lowland	1.20	11.51	113.81
1948	tfis05	bog lowland	1.14	11.81	148.52
1947	tfis05	bog lowland	1.06	12.43	68.26
1946	tfis05	bog lowland	0.93	13.29	86.71
1945	tfis05	bog lowland	1.01	11.22	141.16
1944	tfis05	bog lowland	1.06	12.90	97.81
1943	tfis05	bog lowland	1.08	12.56	72.26
1942	tfis05	bog lowland	1.15	14.31	144.77
1941	tfis05	bog lowland	1.24	13.65	76.90
1940	tfis05	bog lowland	1.23	14.03	95.10
1939	tfis05	bog lowland	1.23	12.82	101.29
1938	tfis05	bog lowland	1.30	12.61	84.13
1937	tfis05	bog lowland	1.34	12.44	85.29
1936	tfis05	bog lowland	1.36	14.08	69.55
1935	tfis05	bog lowland	1.24	11.36	91.74
1934	tfis05	bog lowland	1.17	12.14	88.90
1933	tfis05	bog lowland	1.06	11.68	81.94
1932	tfis05	bog lowland	1.04	11.68	114.84
1931	tfis05	bog lowland	1.03	11.22	104.90
1930	tfis05	bog lowland	1.18	12.79	174.97
1929	tfis05	bog lowland	1.27	12.85	111.48
1928	tfis05	bog lowland	1.34	12.72	64.13
1927	tfis05	bog lowland	1.30	13.51	50.71
1926	tfis05	bog lowland	1.24	14.08	99.10
1925	tfis05	bog lowland	1.09	13.00	115.23
1924	tfis05	bog lowland	1.06	12.46	101.55
1923	tfis05	bog lowland	1.09	14.18	72.65
1922	tfis05	bog lowland	1.20	10.40	113.68
1921	tfis05	bog lowland	1.34	13.56	66.06
1920	tfis05	bog lowland	1.37	12.49	64.26
1919	tfis05	bog lowland	1.34	13.22	107.10
1918	tfis05	bog lowland	1.33	12.10	74.06
1917	tfis05	bog lowland	1.28	12.43	94.32
1916	tfis05	bog lowland	1.20	13.04	123.35
1915	tfis05	bog lowland	1.19	14.88	126.84
1914	tfis05	bog lowland	1.12	12.81	90.58
1913	tfis05	bog lowland	1.04	14.35	95.10
1912	tfis05	bog lowland	0.97	13.07	95.61
1911	tfis05	bog lowland	0.87	12.88	84.64
1910	tfis05	bog lowland	0.86	12.93	85.29
1909	tfis05	bog lowland	0.84	12.64	77.94
1908	tfis05	bog lowland	0.75	-9999.00	-9999.00
1907	tfis05	bog lowland	0.70	-9999.00	-9999.00
1906	tfis05	bog lowland	0.69	-9999.00	-9999.00
1905	tfis05	bog lowland	0.69	-9999.00	-9999.00
1904	tfis05	bog lowland	0.71	-9999.00	-9999.00
1903	tfis05	bog lowland	0.71	-9999.00	-9999.00
1902	tfis05	bog lowland	0.75	-9999.00	-9999.00
1901	tfis05	bog lowland	0.82	-9999.00	-9999.00
1900	tfis05	bog lowland	0.83	-9999.00	-9999.00
1899	tfis05	bog lowland	0.84	-9999.00	-9999.00
1898	tfis05	bog lowland	0.85	-9999.00	-9999.00
1897	tfis05	bog lowland	0.84	-9999.00	-9999.00
1896	tfis05	bog lowland	0.81	-9999.00	-9999.00
1895	tfis05	bog lowland	0.79	-9999.00	-9999.00
1894	tfis05	bog lowland	0.79	-9999.00	-9999.00
2000	tfis06	burned upland	0.83	12.36	93.81
1999	tfis06	burned upland	0.83	14.05	95.48
1998	tfis06	burned upland	0.83	13.40	122.06
1997	tfis06	burned upland	0.75	14.96	56.26
1996	tfis06	burned upland	0.66	13.53	85.94
1995	tfis06	burned upland	0.53	14.81	95.35
1994	tfis06	burned upland	0.50	14.76	73.94
1993	tfis06	burned upland	0.43	15.19	82.97
1992	tfis06	burned upland	0.43	13.11	98.45
1991	tfis06	burned upland	0.42	14.17	46.58
1990	tfis06	burned upland	0.44	15.83	159.23
1989	tfis06	burned upland	0.44	14.67	76.52
1988	tfis06	burned upland	0.43	15.54	96.39
1987	tfis06	burned upland	0.41	14.85	52.39
1986	tfis06	burned upland	0.38	13.99	84.39
1985	tfis06	burned upland	0.33	13.35	100.77
1984	tfis06	burned upland	0.33	13.22	77.03
1983	tfis06	burned upland	0.35	14.21	86.06
1982	tfis06	burned upland	0.38	13.47	99.23
1981	tfis06	burned upland	0.41	12.82	92.90
1980	tfis06	burned upland	0.43	13.01	70.97
1979	tfis06	burned upland	0.43	14.01	82.19
1978	tfis06	burned upland	0.40	13.85	71.74
1977	tfis06	burned upland	0.39	14.68	117.94
1976	tfis06	burned upland	0.36	13.92	69.16
1975	tfis06	burned upland	0.36	15.74	72.13
1974	tfis06	burned upland	0.35	14.54	53.03
1973	tfis06	burned upland	0.35	13.88	80.77
1972	tfis06	burned upland	0.33	14.17	60.65
1971	tfis06	burned upland	0.35	13.85	94.45
1970	tfis06	burned upland	0.33	14.04	95.87
1969	tfis06	burned upland	0.32	13.26	64.39
1968	tfis06	burned upland	0.34	14.33	53.42
1967	tfis06	burned upland	0.37	13.54	146.45
1966	tfis06	burned upland	0.39	13.93	27.61
1965	tfis06	burned upland	0.43	11.51	81.03
1964	tfis06	burned upland	0.59	12.07	87.74
1963	tfis06	burned upland	0.70	12.40	93.68
1962	tfis06	burned upland	0.83	13.47	162.84
1961	tfis06	burned upland	0.98	13.13	106.71
1960	tfis06	burned upland	1.07	13.64	92.00
1959	tfis06	burned upland	0.95	12.58	99.87
1958	tfis06	burned upland	0.85	14.14	52.52
1957	tfis06	burned upland	0.73	14.47	20.00
1956	tfis06	burned upland	0.61	13.18	92.90
1955	tfis06	burned upland	0.55	12.19	142.97
1954	tfis06	burned upland	0.60	13.28	101.03
1953	tfis06	burned upland	0.63	14.35	105.16
1952	tfis06	burned upland	0.67	11.93	80.00
1951	tfis06	burned upland	0.70	13.38	78.84
1950	tfis06	burned upland	0.83	13.60	69.16
1949	tfis06	burned upland	0.88	11.51	113.81
1948	tfis06	burned upland	0.97	11.81	148.52
1947	tfis06	burned upland	1.03	12.43	68.26
1946	tfis06	burned upland	1.14	13.29	86.71
1945	tfis06	burned upland	1.11	11.22	141.16
1944	tfis06	burned upland	1.11	12.90	97.81
1943	tfis06	burned upland	1.17	12.56	72.26
1942	tfis06	burned upland	1.22	14.31	144.77
1941	tfis06	burned upland	1.21	13.65	76.90
1940	tfis06	burned upland	1.32	14.03	95.10
1939	tfis06	burned upland	1.42	12.82	101.29
1938	tfis06	burned upland	1.48	12.61	84.13
1937	tfis06	burned upland	1.61	12.44	85.29
1936	tfis06	burned upland	1.58	14.08	69.55
1935	tfis06	burned upland	1.54	11.36	91.74
1934	tfis06	burned upland	1.60	12.14	88.90
1933	tfis06	burned upland	1.60	11.68	81.94
1932	tfis06	burned upland	1.49	11.68	114.84
1931	tfis06	burned upland	1.67	11.22	104.90
1930	tfis06	burned upland	1.71	12.79	174.97
1929	tfis06	burned upland	1.70	12.85	111.48
1928	tfis06	burned upland	1.69	12.72	64.13
1927	tfis06	burned upland	1.89	13.51	50.71
1926	tfis06	burned upland	1.86	14.08	99.10
1925	tfis06	burned upland	1.89	13.00	115.23
1924	tfis06	burned upland	1.94	12.46	101.55
1923	tfis06	burned upland	1.88	14.18	72.65
1922	tfis06	burned upland	1.79	10.40	113.68
1921	tfis06	burned upland	1.77	13.56	66.06
1920	tfis06	burned upland	1.89	12.49	64.26
1919	tfis06	burned upland	1.96	13.22	107.10
1918	tfis06	burned upland	2.07	12.10	74.06
1917	tfis06	burned upland	2.13	12.43	94.32
1916	tfis06	burned upland	2.03	13.04	123.35
1915	tfis06	burned upland	1.89	14.88	126.84
1914	tfis06	burned upland	1.80	12.81	90.58
1913	tfis06	burned upland	1.87	14.35	95.10
1912	tfis06	burned upland	1.93	13.07	95.61
1911	tfis06	burned upland	1.97	12.88	84.64
1910	tfis06	burned upland	1.97	12.93	85.29
1909	tfis06	burned upland	1.84	12.64	77.94
1908	tfis06	burned upland	1.67	-9999.00	-9999.00
1907	tfis06	burned upland	1.55	-9999.00	-9999.00
1906	tfis06	burned upland	1.55	-9999.00	-9999.00
1905	tfis06	burned upland	1.51	-9999.00	-9999.00
1904	tfis06	burned upland	1.53	-9999.00	-9999.00
1903	tfis06	burned upland	1.47	-9999.00	-9999.00
1902	tfis06	burned upland	1.29	-9999.00	-9999.00
1901	tfis06	burned upland	1.19	-9999.00	-9999.00
1900	tfis06	burned upland	1.05	-9999.00	-9999.00
1899	tfis06	burned upland	0.95	-9999.00	-9999.00
1898	tfis06	burned upland	0.89	-9999.00	-9999.00
1897	tfis06	burned upland	0.86	-9999.00	-9999.00
1896	tfis06	burned upland	0.79	-9999.00	-9999.00
1895	tfis06	burned upland	0.72	-9999.00	-9999.00
1894	tfis06	burned upland	0.63	-9999.00	-9999.00
1893	tfis06	burned upland	0.56	-9999.00	-9999.00
1892	tfis06	burned upland	0.45	-9999.00	-9999.00
1891	tfis06	burned upland	0.39	-9999.00	-9999.00
1890	tfis06	burned upland	0.38	-9999.00	-9999.00
1889	tfis06	burned upland	0.42	-9999.00	-9999.00
1888	tfis06	burned upland	0.39	-9999.00	-9999.00
1887	tfis06	burned upland	0.39	-9999.00	-9999.00
1886	tfis06	burned upland	0.53	-9999.00	-9999.00
1885	tfis06	burned upland	0.50	-9999.00	-9999.00
1884	tfis06	burned upland	0.43	-9999.00	-9999.00
1883	tfis06	burned upland	0.47	-9999.00	-9999.00
1882	tfis06	burned upland	0.54	-9999.00	-9999.00
1881	tfis06	burned upland	0.39	-9999.00	-9999.00
1880	tfis06	burned upland	0.41	-9999.00	-9999.00
1879	tfis06	burned upland	0.69	-9999.00	-9999.00
1878	tfis06	burned upland	0.70	-9999.00	-9999.00
1877	tfis06	burned upland	0.65	-9999.00	-9999.00
1876	tfis06	burned upland	0.66	-9999.00	-9999.00
1875	tfis06	burned upland	0.65	-9999.00	-9999.00
1874	tfis06	burned upland	0.39	-9999.00	-9999.00
1873	tfis06	burned upland	0.36	-9999.00	-9999.00
1872	tfis06	burned upland	0.35	-9999.00	-9999.00
1871	tfis06	burned upland	0.36	-9999.00	-9999.00
1870	tfis06	burned upland	0.35	-9999.00	-9999.00
1869	tfis06	burned upland	0.37	-9999.00	-9999.00
2000	tfis07	burned upland	0.65	12.36	93.81
1999	tfis07	burned upland	0.64	14.05	95.48
1998	tfis07	burned upland	0.68	13.40	122.06
1997	tfis07	burned upland	0.71	14.96	56.26
1996	tfis07	burned upland	0.71	13.53	85.94
1995	tfis07	burned upland	0.70	14.81	95.35
1994	tfis07	burned upland	0.74	14.76	73.94
1993	tfis07	burned upland	0.77	15.19	82.97
1992	tfis07	burned upland	0.84	13.11	98.45
1991	tfis07	burned upland	0.88	14.17	46.58
1990	tfis07	burned upland	0.96	15.83	159.23
1989	tfis07	burned upland	1.06	14.67	76.52
1988	tfis07	burned upland	1.10	15.54	96.39
1987	tfis07	burned upland	1.13	14.85	52.39
1986	tfis07	burned upland	1.16	13.99	84.39
1985	tfis07	burned upland	1.06	13.35	100.77
1984	tfis07	burned upland	0.91	13.22	77.03
1983	tfis07	burned upland	0.80	14.21	86.06
1982	tfis07	burned upland	0.70	13.47	99.23
1981	tfis07	burned upland	0.59	12.82	92.90
1980	tfis07	burned upland	0.69	13.01	70.97
1979	tfis07	burned upland	0.71	14.01	82.19
1978	tfis07	burned upland	0.76	13.85	71.74
1977	tfis07	burned upland	0.83	14.68	117.94
1976	tfis07	burned upland	0.89	13.92	69.16
1975	tfis07	burned upland	0.92	15.74	72.13
1974	tfis07	burned upland	0.99	14.54	53.03
1973	tfis07	burned upland	1.00	13.88	80.77
1972	tfis07	burned upland	1.10	14.17	60.65
1971	tfis07	burned upland	1.12	13.85	94.45
1970	tfis07	burned upland	1.17	14.04	95.87
1969	tfis07	burned upland	1.24	13.26	64.39
1968	tfis07	burned upland	1.31	14.33	53.42
1967	tfis07	burned upland	1.24	13.54	146.45
1966	tfis07	burned upland	1.33	13.93	27.61
1965	tfis07	burned upland	1.22	11.51	81.03
1964	tfis07	burned upland	1.16	12.07	87.74
1963	tfis07	burned upland	1.12	12.40	93.68
1962	tfis07	burned upland	1.03	13.47	162.84
1961	tfis07	burned upland	0.98	13.13	106.71
1960	tfis07	burned upland	1.00	13.64	92.00
1959	tfis07	burned upland	0.98	12.58	99.87
1958	tfis07	burned upland	0.91	14.14	52.52
1957	tfis07	burned upland	0.94	14.47	20.00
1956	tfis07	burned upland	0.95	13.18	92.90
1955	tfis07	burned upland	0.93	12.19	142.97
1954	tfis07	burned upland	1.07	13.28	101.03
1953	tfis07	burned upland	1.18	14.35	105.16
1952	tfis07	burned upland	1.23	11.93	80.00
1951	tfis07	burned upland	1.25	13.38	78.84
1950	tfis07	burned upland	1.39	13.60	69.16
1949	tfis07	burned upland	1.35	11.51	113.81
1948	tfis07	burned upland	1.44	11.81	148.52
1947	tfis07	burned upland	1.67	12.43	68.26
1946	tfis07	burned upland	1.67	13.29	86.71
1945	tfis07	burned upland	1.54	11.22	141.16
1944	tfis07	burned upland	1.41	12.90	97.81
1943	tfis07	burned upland	1.28	12.56	72.26
1942	tfis07	burned upland	1.11	14.31	144.77
1941	tfis07	burned upland	1.09	13.65	76.90
1940	tfis07	burned upland	1.20	14.03	95.10
1939	tfis07	burned upland	1.36	12.82	101.29
1938	tfis07	burned upland	1.44	12.61	84.13
1937	tfis07	burned upland	1.56	12.44	85.29
1936	tfis07	burned upland	1.69	14.08	69.55
1935	tfis07	burned upland	1.77	11.36	91.74
1934	tfis07	burned upland	1.90	12.14	88.90
1933	tfis07	burned upland	1.79	11.68	81.94
1932	tfis07	burned upland	1.61	11.68	114.84
1931	tfis07	burned upland	1.50	11.22	104.90
1930	tfis07	burned upland	1.22	12.79	174.97
1929	tfis07	burned upland	0.87	12.85	111.48
1928	tfis07	burned upland	0.88	12.72	64.13
1927	tfis07	burned upland	0.75	13.51	50.71
1926	tfis07	burned upland	0.56	14.08	99.10
1925	tfis07	burned upland	0.63	13.00	115.23
1924	tfis07	burned upland	0.67	12.46	101.55
1923	tfis07	burned upland	0.62	14.18	72.65
1922	tfis07	burned upland	0.61	10.40	113.68
1921	tfis07	burned upland	0.69	13.56	66.06
1920	tfis07	burned upland	0.64	12.49	64.26
1919	tfis07	burned upland	0.61	13.22	107.10
1918	tfis07	burned upland	0.48	12.10	74.06
1917	tfis07	burned upland	0.50	12.43	94.32
1916	tfis07	burned upland	0.42	13.04	123.35
1915	tfis07	burned upland	0.40	14.88	126.84
1914	tfis07	burned upland	0.38	12.81	90.58
1913	tfis07	burned upland	0.42	14.35	95.10
1912	tfis07	burned upland	0.42	13.07	95.61
1911	tfis07	burned upland	0.41	12.88	84.64
1910	tfis07	burned upland	0.36	12.93	85.29
2000	tfis09	burned upland	0.89	12.36	93.81
1999	tfis09	burned upland	0.90	14.05	95.48
1998	tfis09	burned upland	1.04	13.40	122.06
1997	tfis09	burned upland	0.98	14.96	56.26
1996	tfis09	burned upland	0.91	13.53	85.94
1995	tfis09	burned upland	0.87	14.81	95.35
1994	tfis09	burned upland	0.86	14.76	73.94
1993	tfis09	burned upland	0.82	15.19	82.97
1992	tfis09	burned upland	0.83	13.11	98.45
1991	tfis09	burned upland	0.82	14.17	46.58
1990	tfis09	burned upland	0.85	15.83	159.23
1989	tfis09	burned upland	0.86	14.67	76.52
1988	tfis09	burned upland	0.86	15.54	96.39
1987	tfis09	burned upland	0.91	14.85	52.39
1986	tfis09	burned upland	0.95	13.99	84.39
1985	tfis09	burned upland	0.86	13.35	100.77
1984	tfis09	burned upland	0.77	13.22	77.03
1983	tfis09	burned upland	0.68	14.21	86.06
1982	tfis09	burned upland	0.62	13.47	99.23
1981	tfis09	burned upland	0.51	12.82	92.90
1980	tfis09	burned upland	0.62	13.01	70.97
1979	tfis09	burned upland	0.66	14.01	82.19
1978	tfis09	burned upland	0.77	13.85	71.74
1977	tfis09	burned upland	0.83	14.68	117.94
1976	tfis09	burned upland	0.86	13.92	69.16
1975	tfis09	burned upland	0.82	15.74	72.13
1974	tfis09	burned upland	0.84	14.54	53.03
1973	tfis09	burned upland	0.82	13.88	80.77
1972	tfis09	burned upland	0.92	14.17	60.65
1971	tfis09	burned upland	1.02	13.85	94.45
1970	tfis09	burned upland	1.18	14.04	95.87
1969	tfis09	burned upland	1.36	13.26	64.39
1968	tfis09	burned upland	1.50	14.33	53.42
1967	tfis09	burned upland	1.51	13.54	146.45
1966	tfis09	burned upland	1.58	13.93	27.61
1965	tfis09	burned upland	1.45	11.51	81.03
1964	tfis09	burned upland	1.36	12.07	87.74
1963	tfis09	burned upland	1.27	12.40	93.68
1962	tfis09	burned upland	1.11	13.47	162.84
1961	tfis09	burned upland	1.04	13.13	106.71
1960	tfis09	burned upland	1.07	13.64	92.00
1959	tfis09	burned upland	1.00	12.58	99.87
1958	tfis09	burned upland	0.94	14.14	52.52
1957	tfis09	burned upland	1.00	14.47	20.00
1956	tfis09	burned upland	1.03	13.18	92.90
1955	tfis09	burned upland	1.00	12.19	142.97
1954	tfis09	burned upland	1.09	13.28	101.03
1953	tfis09	burned upland	1.16	14.35	105.16
1952	tfis09	burned upland	1.24	11.93	80.00
1951	tfis09	burned upland	1.23	13.38	78.84
1950	tfis09	burned upland	1.29	13.60	69.16
1949	tfis09	burned upland	1.31	11.51	113.81
1948	tfis09	burned upland	1.36	11.81	148.52
1947	tfis09	burned upland	1.47	12.43	68.26
1946	tfis09	burned upland	1.47	13.29	86.71
1945	tfis09	burned upland	1.45	11.22	141.16
1944	tfis09	burned upland	1.39	12.90	97.81
1943	tfis09	burned upland	1.35	12.56	72.26
1942	tfis09	burned upland	1.24	14.31	144.77
1941	tfis09	burned upland	1.15	13.65	76.90
1940	tfis09	burned upland	1.12	14.03	95.10
1939	tfis09	burned upland	1.10	12.82	101.29
1938	tfis09	burned upland	1.02	12.61	84.13
1937	tfis09	burned upland	0.95	12.44	85.29
1936	tfis09	burned upland	1.02	14.08	69.55
1935	tfis09	burned upland	1.02	11.36	91.74
1934	tfis09	burned upland	0.95	12.14	88.90
1933	tfis09	burned upland	0.87	11.68	81.94
1932	tfis09	burned upland	0.72	11.68	114.84
1931	tfis09	burned upland	0.58	11.22	104.90
1930	tfis09	burned upland	0.45	12.79	174.97
1929	tfis09	burned upland	0.38	12.85	111.48
1928	tfis09	burned upland	0.35	12.72	64.13
1927	tfis09	burned upland	0.39	13.51	50.71
1926	tfis09	burned upland	0.36	14.08	99.10
1925	tfis09	burned upland	0.35	13.00	115.23
2000	tfis10	burned upland	0.52	12.36	93.81
1999	tfis10	burned upland	0.54	14.05	95.48
1998	tfis10	burned upland	0.58	13.40	122.06
1997	tfis10	burned upland	0.63	14.96	56.26
1996	tfis10	burned upland	0.68	13.53	85.94
1995	tfis10	burned upland	0.70	14.81	95.35
1994	tfis10	burned upland	0.77	14.76	73.94
1993	tfis10	burned upland	0.81	15.19	82.97
1992	tfis10	burned upland	0.79	13.11	98.45
1991	tfis10	burned upland	0.80	14.17	46.58
1990	tfis10	burned upland	0.80	15.83	159.23
1989	tfis10	burned upland	0.80	14.67	76.52
1988	tfis10	burned upland	0.80	15.54	96.39
1987	tfis10	burned upland	0.78	14.85	52.39
1986	tfis10	burned upland	0.74	13.99	84.39
1985	tfis10	burned upland	0.67	13.35	100.77
1984	tfis10	burned upland	0.57	13.22	77.03
1983	tfis10	burned upland	0.49	14.21	86.06
1982	tfis10	burned upland	0.46	13.47	99.23
1981	tfis10	burned upland	0.42	12.82	92.90
1980	tfis10	burned upland	0.46	13.01	70.97
1979	tfis10	burned upland	0.48	14.01	82.19
1978	tfis10	burned upland	0.61	13.85	71.74
1977	tfis10	burned upland	0.76	14.68	117.94
1976	tfis10	burned upland	1.06	13.92	69.16
1975	tfis10	burned upland	1.36	15.74	72.13
1974	tfis10	burned upland	1.42	14.54	53.03
1973	tfis10	burned upland	1.48	13.88	80.77
1972	tfis10	burned upland	1.58	14.17	60.65
1971	tfis10	burned upland	1.54	13.85	94.45
1970	tfis10	burned upland	1.48	14.04	95.87
1969	tfis10	burned upland	1.66	13.26	64.39
1968	tfis10	burned upland	1.68	14.33	53.42
1967	tfis10	burned upland	1.61	13.54	146.45
1966	tfis10	burned upland	1.55	13.93	27.61
1965	tfis10	burned upland	1.37	11.51	81.03
1964	tfis10	burned upland	1.23	12.07	87.74
1963	tfis10	burned upland	1.15	12.40	93.68
1962	tfis10	burned upland	1.12	13.47	162.84
1961	tfis10	burned upland	1.12	13.13	106.71
1960	tfis10	burned upland	1.12	13.64	92.00
1959	tfis10	burned upland	1.09	12.58	99.87
1958	tfis10	burned upland	1.05	14.14	52.52
1957	tfis10	burned upland	0.99	14.47	20.00
1956	tfis10	burned upland	0.98	13.18	92.90
1955	tfis10	burned upland	1.04	12.19	142.97
1954	tfis10	burned upland	1.15	13.28	101.03
1953	tfis10	burned upland	1.16	14.35	105.16
1952	tfis10	burned upland	1.27	11.93	80.00
1951	tfis10	burned upland	1.42	13.38	78.84
1950	tfis10	burned upland	1.55	13.60	69.16
